Nr Tasks, time
100.0,0.007891416549682617
100.0,0.008397340774536133
100.0,0.010075569152832031
100.0,0.00924372673034668
100.0,0.007399082183837891
100.0,0.008159875869750977
100.0,0.00887155532836914
100.0,0.008071660995483398
100.0,0.009026765823364258
100.0,0.008600473403930664
100.0,0.008304357528686523
100.0,0.008150339126586914
100.0,0.00847625732421875
100.0,0.009684324264526367
100.0,0.00921010971069336
100.0,0.007595539093017578
100.0,0.008555889129638672
100.0,0.008634090423583984
100.0,0.008396387100219727
100.0,0.009727716445922852
100.0,0.00955057144165039
100.0,0.009394407272338867
100.0,0.009584426879882812
100.0,0.009492158889770508
100.0,0.007856369018554688
100.0,0.007506608963012695
100.0,0.008925914764404297
100.0,0.009877443313598633
100.0,0.008244037628173828
100.0,0.00822901725769043
100.0,0.008472442626953125
100.0,0.009019613265991211
100.0,0.007071018218994141
100.0,0.00823354721069336
100.0,0.009016990661621094
100.0,0.00894927978515625
100.0,0.009413480758666992
100.0,0.010548591613769531
100.0,0.00919032096862793
100.0,0.009246349334716797
100.0,0.008358001708984375
100.0,0.008924722671508789
100.0,0.007740497589111328
100.0,0.00928044319152832
100.0,0.008300542831420898
100.0,0.007818222045898438
100.0,0.007839679718017578
100.0,0.007990360260009766
100.0,0.00873112678527832
100.0,0.009188175201416016
100.0,0.008510828018188477
100.0,0.0088653564453125
100.0,0.009226560592651367
100.0,0.008878231048583984
100.0,0.00899958610534668
100.0,0.008193254470825195
100.0,0.008876323699951172
100.0,0.007590055465698242
100.0,0.009064674377441406
100.0,0.00800180435180664
100.0,0.00835275650024414
100.0,0.009028911590576172
100.0,0.008666515350341797
100.0,0.008024454116821289
100.0,0.007768869400024414
100.0,0.008507728576660156
100.0,0.009046792984008789
100.0,0.007687091827392578
100.0,0.00824737548828125
100.0,0.010247468948364258
100.0,0.008348941802978516
100.0,0.008796930313110352
100.0,0.00787043571472168
100.0,0.009228944778442383
100.0,0.009255647659301758
100.0,0.009601593017578125
100.0,0.008019208908081055
100.0,0.010390520095825195
100.0,0.0069468021392822266
100.0,0.008729934692382812
100.0,0.007277250289916992
100.0,0.00760960578918457
100.0,0.009452342987060547
